dis_reg;dis_nombre;fec_codigo;fec_dia;fec_semana;prod_nombre;prod_n2;prod_n3;prod_n3_clase;prod_prov_nombre;inv_valor;inv_cantidad;inv_dias_venta;inv_cantidad_venta
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0001;ACEITES Y MANTECAS;ALIMENTOS;A;Proveedor 001;58855296;6482;90;29534
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0002;ACEITES Y MANTECAS;ALIMENTOS;A;Proveedor 001;77851616;4209;90;18919
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0003;TEQUILA;LICORES Y TABACO;A;Proveedor 002;333553063;7330;90;16895
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0004;ACEITES Y MANTECAS;ALIMENTOS;A;Proveedor 001;56014348;3383;90;15822
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0005;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;4020698;4760;90;14794
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0006;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;10388431;5970;90;14674
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0007;WHISKY;LICORES Y TABACO;A;Proveedor 002;44001197;6460;90;12997
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0008;JABON EN BARRA;HOGAR;A;Proveedor 004;4924468;2483;90;12546
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0009;DESODORANTES;CUIDADO PERSONAL;A;Proveedor 005;1174474;559;90;12312
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0010;WHISKY;LICORES Y TABACO;A;Proveedor 002;231136571;7538;90;11907
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0011;WHISKY;LICORES Y TABACO;A;Proveedor 002;415817075;5543;90;11044
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0012;LAVALOZA;HOGAR;A;Proveedor 004;6483060;2880;90;10939
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0013;FIBRAS Y PANOS ABSORBENTES;HOGAR;A;Proveedor 003;1278492;2001;90;10908
UNIDAD DE NEGOCIO PACIFICO;AGENCIA DISTRIMARCAS;20221006;06;Sem 41 2022;Producto 0014;ACEITES Y MANTECAS;ALIMENTOS;A;Proveedor 001;37967703;3155;90;8314
